# satellite: 48215 ONEWEB-0209 / UK
# catalogue: 1 NORAD
# variability: 0 Not variable
# variability_period: None
# npoints: 25227
#
# Date Time StdMag Mag Filter Penumbra Distance Phase Channel Track
2024-02-28 17:55:28.499000 8.002 9.27796 Clear 0 1813.164 88.975 2 27848560
2024-02-28 17:55:28.599000 7.918 9.19276 Clear 0 1812.797 88.978 2 27848560
2024-02-28 17:55:28.699000 7.534 8.80889 Clear 0 1812.431 88.981 2 27848560
2024-02-28 17:55:28.799000 7.779 9.05336 Clear 0 1812.064 88.984 2 27848560
2024-02-28 17:55:28.899000 7.466 8.73984 Clear 0 1811.698 88.988 2 27848560
2024-02-28 17:55:28.999000 7.918 9.19187 Clear 0 1811.332 88.991 2 27848560
2024-02-28 17:55:29.099000 7.666 8.93897 Clear 0 1810.967 88.994 2 27848560
2024-02-28 17:55:29.199000 7.847 9.11957 Clear 0 1810.601 88.997 2 27848560
2024-02-28 17:55:29.299000 7.799 9.07073 Clear 0 1810.236 89.0 2 27848560
2024-02-28 17:55:29.399000 7.848 9.12041 Clear 0 1809.87 89.003 2 27848560
2024-02-28 17:55:29.499000 7.765 9.03703 Clear 0 1809.505 89.007 2 27848560
2024-02-28 17:55:29.599000 7.736 9.0066 Clear 0 1809.14 89.01 2 27848560
2024-02-28 17:55:29.699000 7.637 8.90838 Clear 0 1808.775 89.013 2 27848560
2024-02-28 17:55:29.799000 7.854 9.12542 Clear 0 1808.411 89.016 2 27848560
2024-02-28 17:55:29.899000 7.787 9.0565 Clear 0 1808.046 89.019 2 27848560
2024-02-28 17:55:30.099000 7.667 8.93545 Clear 0 1807.318 89.026 2 27848560
2024-02-28 17:55:30.199000 7.652 8.92079 Clear 0 1806.954 89.029 2 27848560
2024-02-28 17:55:30.299000 7.85 9.11874 Clear 0 1806.59 89.032 2 27848560
2024-02-28 17:55:30.399000 7.561 8.82846 Clear 0 1806.227 89.035 2 27848560
2024-02-28 17:55:30.599000 7.546 8.81391 Clear 0 1805.5 89.042 2 27848560
2024-02-28 17:55:30.699000 7.586 8.85322 Clear 0 1805.137 89.045 2 27848560
2024-02-28 17:55:30.799000 7.396 8.66344 Clear 0 1804.774 89.048 2 27848560
2024-02-28 17:55:30.899000 7.89 9.15582 Clear 0 1804.411 89.052 2 27848560
2024-02-28 17:55:30.999000 7.874 9.13957 Clear 0 1804.048 89.055 2 27848560
2024-02-28 17:55:31.099000 7.486 8.7524 Clear 0 1803.686 89.058 2 27848560
2024-02-28 17:55:31.199000 7.67 8.93513 Clear 0 1803.324 89.061 2 27848560
2024-02-28 17:55:31.299000 8.046 9.31119 Clear 0 1802.961 89.064 2 27848560
2024-02-28 17:55:31.499000 7.975 9.23907 Clear 0 1802.238 89.071 2 27848560
2024-02-28 17:55:31.599000 7.465 8.72889 Clear 0 1801.876 89.074 2 27848560
2024-02-28 17:55:31.699000 7.704 8.96725 Clear 0 1801.514 89.077 2 27848560
2024-02-28 17:55:31.799000 7.72 8.9833 Clear 0 1801.153 89.081 2 27848560
2024-02-28 17:55:31.899000 7.963 9.22613 Clear 0 1800.792 89.084 2 27848560
2024-02-28 17:55:31.999000 7.721 8.9833 Clear 0 1800.431 89.087 2 27848560
2024-02-28 17:55:32.099000 7.95 9.21242 Clear 0 1800.07 89.09 2 27848560
2024-02-28 17:55:32.199000 7.886 9.1481 Clear 0 1799.709 89.094 2 27848560
2024-02-28 17:55:32.299000 7.645 8.90599 Clear 0 1799.349 89.097 2 27848560
2024-02-28 17:55:32.499000 7.959 9.2188 Clear 0 1798.628 89.103 2 27848560
2024-02-28 17:55:32.699000 7.917 9.1767 Clear 0 1797.909 89.11 2 27848560
2024-02-28 17:55:32.799000 7.727 8.98624 Clear 0 1797.549 89.113 2 27848560
2024-02-28 17:55:32.899000 7.416 8.675 Clear 0 1797.189 89.116 2 27848560
