# satellite: 48243 ONEWEB-0208 / UK
# catalogue: 1 NORAD
# variability: 0 Not variable
# variability_period: None
# npoints: 33603
#
# Date Time StdMag Mag Filter Penumbra Distance Phase Channel Track
2024-02-27 18:04:24.900000 6.7 7.77753 Clear 0 1528.722 97.567 9 27816489
2024-02-27 18:04:25 6.35 7.42793 Clear 0 1528.793 97.573 9 27816489
2024-02-27 18:04:25.100000 6.596 7.67395 Clear 0 1528.864 97.579 9 27816489
2024-02-27 18:04:25.200000 6.514 7.59177 Clear 0 1528.935 97.585 9 27816489
2024-02-27 18:04:25.300000 6.641 7.71852 Clear 0 1529.007 97.591 9 27816489
2024-02-27 18:04:25.400000 6.482 7.56122 Clear 0 1529.079 97.597 9 27816489
2024-02-27 18:04:25.500000 6.536 7.61531 Clear 0 1529.151 97.603 9 27816489
2024-02-27 18:04:25.600000 6.428 7.50697 Clear 0 1529.223 97.609 9 27816489
2024-02-27 18:04:25.700000 6.614 7.69339 Clear 0 1529.296 97.615 9 27816489
2024-02-27 18:04:25.800000 6.654 7.73413 Clear 0 1529.369 97.621 9 27816489
2024-02-27 18:04:25.900000 6.408 7.4881 Clear 0 1529.442 97.627 9 27816489
2024-02-27 18:04:26 6.587 7.66714 Clear 0 1529.516 97.633 9 27816489
2024-02-27 18:04:26.100000 6.622 7.70212 Clear 0 1529.59 97.639 9 27816489
2024-02-27 18:04:26.200000 6.474 7.55486 Clear 0 1529.664 97.645 9 27816489
2024-02-27 18:04:26.300000 6.608 7.68869 Clear 0 1529.738 97.651 9 27816489
2024-02-27 18:04:26.400000 6.443 7.52383 Clear 0 1529.813 97.657 9 27816489
2024-02-27 18:04:26.500000 6.707 7.78805 Clear 0 1529.888 97.662 9 27816489
2024-02-27 18:04:26.600000 6.585 7.66545 Clear 0 1529.963 97.668 9 27816489
2024-02-27 18:04:26.700000 6.578 7.66014 Clear 0 1530.038 97.674 9 27816489
2024-02-27 18:04:26.800000 6.549 7.63114 Clear 0 1530.114 97.68 9 27816489
2024-02-27 18:04:26.900000 6.494 7.57627 Clear 0 1530.19 97.686 9 27816489
2024-02-27 18:04:27 6.296 7.37832 Clear 0 1530.266 97.692 9 27816489
2024-02-27 18:04:27.100000 6.536 7.61902 Clear 0 1530.343 97.698 9 27816489
2024-02-27 18:04:27.200000 6.438 7.52065 Clear 0 1530.42 97.704 9 27816489
2024-02-27 18:04:27.300000 6.488 7.57094 Clear 0 1530.497 97.71 9 27816489
2024-02-27 18:04:27.400000 6.532 7.61531 Clear 0 1530.574 97.716 9 27816489
