# satellite: 48221 ONEWEB-0187 / UK
# catalogue: 1 NORAD
# variability: 0 Not variable
# variability_period: None
# npoints: 33065
#
# Date Time StdMag Mag Filter Penumbra Distance Phase Channel Track
2024-02-27 16:53:20.601000 7.789 7.89718 Clear 0 1409.039 36.75 2 27810307
2024-02-27 16:53:20.701000 7.715 7.82282 Clear 0 1408.86 36.75 2 27810307
2024-02-27 16:53:20.801000 7.683 7.7906 Clear 0 1408.68 36.75 2 27810307
2024-02-27 16:53:20.901000 7.611 7.71772 Clear 0 1408.501 36.751 2 27810307
2024-02-27 16:53:21.001000 7.775 7.88203 Clear 0 1408.323 36.751 2 27810307
2024-02-27 16:53:21.101000 7.673 7.77964 Clear 0 1408.144 36.751 2 27810307
2024-02-27 16:53:21.201000 7.567 7.6736 Clear 0 1407.966 36.751 2 27810307
2024-02-27 16:53:21.301000 7.779 7.88462 Clear 0 1407.788 36.751 2 27810307
2024-02-27 16:53:21.401000 7.701 7.80736 Clear 0 1407.611 36.751 2 27810307
2024-02-27 16:53:21.501000 7.708 7.81418 Clear 0 1407.433 36.752 2 27810307
2024-02-27 16:53:21.601000 7.775 7.88086 Clear 0 1407.256 36.752 2 27810307
2024-02-27 16:53:21.701000 7.692 7.7971 Clear 0 1407.08 36.752 2 27810307
2024-02-27 16:53:21.801000 7.668 7.77282 Clear 0 1406.903 36.753 2 27810307
2024-02-27 16:53:21.901000 7.746 7.851 Clear 0 1406.727 36.753 2 27810307
2024-02-27 16:53:22.001000 7.659 7.76267 Clear 0 1406.551 36.753 2 27810307
2024-02-27 16:53:22.201000 7.575 7.67865 Clear 0 1406.201 36.754 2 27810307
2024-02-27 16:53:22.301000 7.604 7.70807 Clear 0 1406.026 36.754 2 27810307
2024-02-27 16:53:22.401000 7.74 7.84281 Clear 0 1405.851 36.755 2 27810307
2024-02-27 16:53:22.501000 7.671 7.77388 Clear 0 1405.677 36.755 2 27810307
2024-02-27 16:53:22.601000 7.772 7.87501 Clear 0 1405.503 36.756 2 27810307
2024-02-27 16:53:22.701000 7.645 7.74803 Clear 0 1405.329 36.756 2 27810307
2024-02-27 16:53:22.801000 7.593 7.69494 Clear 0 1405.156 36.756 2 27810307
2024-02-27 16:53:22.901000 7.816 7.9181 Clear 0 1404.982 36.757 2 27810307
2024-02-27 16:53:23.001000 7.801 7.90267 Clear 0 1404.81 36.757 2 27810307
